%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1658627672074338835,16955,1658627671999700614,gps,2,0,37.2407428,126.7741528,28.755,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000289,2
1658627672238146840,16956,1658627672199700585,gps,2,0,37.2407463,126.774155,28.763,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627672342957103,16957,1658627672299700571,gps,2,0,37.240748,126.774156,28.772,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627672533010069,16958,1658627672499700543,gps,2,0,37.2407514,126.7741581,28.776,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627672632044725,16959,1658627672599700529,gps,2,0,37.2407531,126.7741592,28.772,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627672727637200,16960,1658627672699700515,gps,2,0,37.2407548,126.7741602,28.788,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627672833159458,16961,1658627672799700501,gps,2,0,37.2407565,126.7741614,28.786,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627672933910156,16962,1658627672899700487,gps,2,0,37.2407582,126.7741625,28.781,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000289,2
1658627673078190059,16963,1658627672999700474,gps,2,0,37.2407598,126.7741636,28.774,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000289,2
1658627673239298310,16964,1658627673199700445,gps,2,0,37.2407633,126.7741659,28.804,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627673434475915,16965,1658627673399700417,gps,2,0,37.2407666,126.7741682,28.802,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627673533732026,16966,1658627673499700403,gps,2,0,37.2407683,126.7741694,28.793,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627673628843106,16967,1658627673599700389,gps,2,0,37.24077,126.7741705,28.8,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627673731422471,16968,1658627673699700375,gps,2,0,37.2407716,126.7741717,28.787,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627673833133850,16969,1658627673799700361,gps,2,0,37.2407733,126.7741729,28.786,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627673931430136,16970,1658627673899700347,gps,2,0,37.2407749,126.7741741,28.775,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
